id,name,manufacturer,created_at,updated_at
1,YS-D130R,sea&sea,2025-09-23 06:25:37.30881+00,2025-09-23 06:25:37.30881+00
2,YS-D3 DUO,sea&sea,2025-09-23 06:25:37.30881+00,2025-09-23 06:25:37.30881+00
3,YS-01 SOLIS,sea&sea,2025-09-23 06:25:37.30881+00,2025-09-23 06:25:37.30881+00
4,YS-03 SOLIS,sea&sea,2025-09-23 06:25:37.30881+00,2025-09-23 06:25:37.30881+00
5,YS-D3 MKII LIGHTNING,sea&sea,2025-09-23 06:25:37.30881+00,2025-09-23 06:25:37.30881+00
6,S-220,INON,2025-09-23 06:25:37.30881+00,2025-09-23 06:25:37.30881+00
7,D-200,INON,2025-09-23 06:25:37.30881+00,2025-09-23 06:25:37.30881+00
8,Z-330,INON,2025-09-23 06:25:37.30881+00,2025-09-23 06:25:37.30881+00
9,S-2000,INON,2025-09-23 06:25:37.30881+00,2025-09-23 06:25:37.30881+00
10,AOI-UCS-Q1-RC-BLK,AOI,2025-09-23 06:25:37.30881+00,2025-09-23 06:25:37.30881+00
11,AOI-UCS-Q1-RC-WHT,AOI,2025-09-23 06:25:37.30881+00,2025-09-23 06:25:37.30881+00
12,Apollo S,marelux,2025-09-23 06:25:37.30881+00,2025-09-23 06:25:37.30881+00
13,Apollo44,marelux,2025-09-23 06:25:37.30881+00,2025-09-23 06:25:37.30881+00